event_id,ticker,zone_id,structural_zone_key,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,local_bar_index,global_bar_index,touch_count_before_event,meaningful_touch_count_before_event,is_first_meaningful_test,bars_since_last_touch,days_since_last_touch,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,defense_label,hold_flag,failed_hold_flag,defense_unresolved_flag,reversal_strength_pct,max_rejection_excursion,max_penetration_excursion,bars_to_reversal,close_back_from_edge_flag,zone_defense_score
AAPL::20250625::resistance::1::probe::2025-06-30T00:00:00,AAPL,AAPL::20250625::resistance::1,"AAPL::resistance::201.5850::5.2750::avwap_D,vp_D::D",2025-06-30,probe,up,205.1699981689453,204.22272685368856,0.004638422617554269,38,3,38,0,0,True,,,composite,resistance,D,0.026161433458046182,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-06-25T00:00:00"", ""zone_valid_to"": ""2025-07-01T23:59:59.999999""}",failed_hold,0,1,0,-0.0047277927053661455,-0.0047277927053661455,0.05879496889909262,,0,-4.70359751192741
AAPL::20250625::resistance::1::breakout_up::2025-07-01T00:00:00,AAPL,AAPL::20250625::resistance::1,"AAPL::resistance::201.5850::5.2750::avwap_D,vp_D::D",2025-07-01,breakout_up,up,207.82000732421875,204.22272685368856,0.017614496319537425,39,4,39,1,1,False,1.0,1.0,composite,resistance,D,0.026161433458046182,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-06-25T00:00:00"", ""zone_valid_to"": ""2025-07-01T23:59:59.999999""}",not_applicable,0,0,0,,,,,0,
AAPL::20250710::resistance::1::test::2025-07-10T00:00:00,AAPL,AAPL::20250710::resistance::1,AAPL::resistance::211.1550::2.1125::avwap_D::D,2025-07-10,test,up,212.41000366210938,212.20883292391088,0.0009479847536347858,45,0,45,0,0,True,,,cost,resistance,D,0.009999999999999938,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-10T00:00:00"", ""zone_valid_to"": ""2025-07-16T23:59:59.999999""}",failed_hold,0,1,0,0.05136294653741654,0.05136294653741654,0.040720139027875,1.0,1,2.378683531511654
AAPL::20250710::support::3::test::2025-07-14T00:00:00,AAPL,AAPL::20250710::support::3,"AAPL::support::210.0800::3.0250::avwap_D,vp_D::D",2025-07-14,test,down,208.6199951171875,208.56830977201463,0.0002478101550008618,47,2,47,0,0,True,,,composite,support,D,0.014402520242310162,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-10T00:00:00"", ""zone_valid_to"": ""2025-07-16T23:59:59.999999""}",failed_hold,0,1,0,0.10727641360666818,0.10727641360666818,0.03388966319831127,1.0,1,8.516468304801915
AAPL::20250710::resistance::1::test::2025-07-16T00:00:00,AAPL,AAPL::20250710::resistance::1,AAPL::resistance::211.1550::2.1125::avwap_D::D,2025-07-16,test,up,210.16000366210938,212.20883292391088,-0.009654778425439645,49,4,49,1,1,False,4.0,6.0,cost,resistance,D,0.009999999999999938,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-10T00:00:00"", ""zone_valid_to"": ""2025-07-16T23:59:59.999999""}",failed_hold,0,1,0,0.04120671636470248,0.04120671636470248,0.10739970981444054,10.0,1,-3.971305148684995
AAPL::20250717::resistance::1::test::2025-07-21T00:00:00,AAPL,AAPL::20250717::resistance::1,"AAPL::resistance::210.5000::5.6325::avwap_D,vp_D,vp_W::D,W",2025-07-21,test,up,212.47999572753906,213.31499372959138,-0.003914389642533993,52,2,52,0,0,True,,,composite,resistance,"D,W",0.02675381812048468,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-17T00:00:00"", ""zone_valid_to"": ""2025-07-23T23:59:59.999999""}",failed_hold,0,1,0,0.051675432738706374,0.051675432738706374,0.10221973151703165,7.0,1,-2.5100352474918948
AAPL::20250717::resistance::1::probe::2025-07-22T00:00:00,AAPL,AAPL::20250717::resistance::1,"AAPL::resistance::210.5000::5.6325::avwap_D,vp_D,vp_W::D,W",2025-07-22,probe,up,214.39999389648438,213.31499372959138,0.005086375542210577,53,3,53,1,1,False,1.0,1.0,composite,resistance,"D,W",0.02675381812048468,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-17T00:00:00"", ""zone_valid_to"": ""2025-07-23T23:59:59.999999""}",failed_hold,0,1,0,0.06016788369272385,0.06016788369272385,0.10221973151703165,5.0,1,-1.6607901520901471
AAPL::20250717::resistance::1::breakout_up::2025-07-23T00:00:00,AAPL,AAPL::20250717::resistance::1,"AAPL::resistance::210.5000::5.6325::avwap_D,vp_D,vp_W::D,W",2025-07-23,breakout_up,up,214.14999389648438,213.31499372959138,0.003914399791097122,54,4,54,2,1,False,1.0,1.0,composite,resistance,"D,W",0.02675381812048468,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-07-17T00:00:00"", ""zone_valid_to"": ""2025-07-23T23:59:59.999999""}",not_applicable,0,0,0,,,,,0,
AAPL::20250724::support::2::test::2025-07-30T00:00:00,AAPL,AAPL::20250724::support::2,"AAPL::support::211.4550::6.7100::avwap_D,vp_D,vp_W::D,W",2025-07-30,test,down,209.0500030517578,208.10216744422914,0.004554664755150576,59,4,59,0,0,True,,,composite,support,"D,W",0.031734175897696754,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-24T00:00:00"", ""zone_valid_to"": ""2025-07-30T23:59:59.999999""}",failed_hold,0,1,0,0.12470696811697787,0.12470696811697787,0.03172560634669268,2.0,1,10.432648303962372
AAPL::20250731::support::3::probe::2025-08-01T00:00:00,AAPL,AAPL::20250731::support::3,AAPL::support::205.8800::3.6200::avwap_D::D,2025-08-01,probe,down,202.3800048828125,204.07039415284245,-0.008283363576805286,61,1,61,0,0,True,,,cost,support,D,0.017577817057758897,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-31T00:00:00"", ""zone_valid_to"": ""2025-08-06T23:59:59.999999""}",failed_hold,0,1,0,0.16177482678356978,0.16177482678356978,0.011713612290427913,1.0,1,15.740393695122744
