zone_id,structural_zone_key,ticker,valid_from,valid_to,zone_class,side,lower,upper,center,timeframe,source_reason,confluence_count,metadata
AAPL::20250617::resistance::1,"AAPL::resistance::200.5200::7.9225::avwap_D,vp_D,vp_W::D,W",AAPL,2025-06-17,2025-06-24 23:59:59.999999,composite,resistance,196.55968383789062,204.4815186023712,200.5206012201309,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 195.5355248438435, 'structural_score': 188.9355248438435, 'touch_count': 7, 'reaction_score': 3.3000000000000003, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AAPL::20250625::resistance::1,"AAPL::resistance::201.5850::5.2750::avwap_D,vp_D::D",AAPL,2025-06-25,2025-07-01 23:59:59.999999,composite,resistance,198.94895232518513,204.22272685368856,201.58583958943683,D,"avwap_D,vp_D",2,"{'institutional_score': 174.68531851574508, 'structural_score': 168.32531851574507, 'touch_count': 8, 'reaction_score': 3.1800000000000006, 'source_label': 'avwap_D, vp_D', 'source_types': ['avwap_D', 'vp_D'], 'timeframes': ['D']}"
AAPL::20250625::support::2,"AAPL::support::200.1450::7.1750::avwap_D,vp_D,vp_W::D,W",AAPL,2025-06-25,2025-07-01 23:59:59.999999,composite,support,196.55968383789062,203.73365112304688,200.14666748046875,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 187.9957781681627, 'structural_score': 181.6357781681627, 'touch_count': 8, 'reaction_score': 3.1800000000000006, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AAPL::20250702::support::1,AAPL::support::197.3000::2.8275::vp_W::W,AAPL,2025-07-02,2025-07-09 23:59:59.999999,inventory,support,195.8868393055598,198.71317252000173,197.30000591278076,W,vp_W,1,"{'institutional_score': 40.6259918093334, 'structural_score': 34.0259918093334, 'touch_count': 7, 'reaction_score': 3.3000000000000003, 'source_label': 'VP (W, 1d higher-timeframe composite)', 'source_types': ['vp_W'], 'timeframes': ['W']}"
AAPL::20250702::support::2,"AAPL::support::201.5650::6.2825::avwap_D,vp_D,vp_W::D,W",AAPL,2025-07-02,2025-07-09 23:59:59.999999,composite,support,198.4255054426193,204.70783793608348,201.56667168935138,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 89.55900903213748, 'structural_score': 83.67900903213749, 'touch_count': 10, 'reaction_score': 2.9400000000000004, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AAPL::20250702::support::3,AAPL::support::205.8350::2.0575::avwap_D::D,AAPL,2025-07-02,2025-07-09 23:59:59.999999,cost,support,204.80782229454485,206.86619236785685,205.83700733120085,D,avwap_D,1,"{'institutional_score': 164.98240448416934, 'structural_score': 158.46240448416933, 'touch_count': 4, 'reaction_score': 3.26, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
AAPL::20250710::resistance::1,AAPL::resistance::211.1550::2.1125::avwap_D::D,AAPL,2025-07-10,2025-07-16 23:59:59.999999,cost,resistance,210.09730224805108,212.20883292391088,211.15306758598098,D,avwap_D,1,"{'institutional_score': 166.01008046156713, 'structural_score': 158.45008046156713, 'touch_count': 3, 'reaction_score': 3.7800000000000002, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
AAPL::20250710::support::2,"AAPL::support::200.5850::8.6375::avwap_D,vp_D,vp_W::D,W",AAPL,2025-07-10,2025-07-16 23:59:59.999999,composite,support,196.26635798454285,204.90387356758117,200.58511577606203,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 66.3645258171389, 'structural_score': 60.9645258171389, 'touch_count': 12, 'reaction_score': 2.7, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AAPL::20250710::support::3,"AAPL::support::210.0800::3.0250::avwap_D,vp_D::D",AAPL,2025-07-10,2025-07-16 23:59:59.999999,composite,support,208.56830977201463,211.59400791478467,210.08115884339963,D,"avwap_D,vp_D",2,"{'institutional_score': 166.65771305406253, 'structural_score': 159.09771305406252, 'touch_count': 3, 'reaction_score': 3.7800000000000002, 'source_label': 'avwap_D, vp_D', 'source_types': ['avwap_D', 'vp_D'], 'timeframes': ['D']}"
AAPL::20250717::resistance::1,"AAPL::resistance::210.5000::5.6325::avwap_D,vp_D,vp_W::D,W",AAPL,2025-07-17,2025-07-23 23:59:59.999999,composite,resistance,207.6833373403549,213.31499372959138,210.49916553497314,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 176.50737902627796, 'structural_score': 169.42737902627795, 'touch_count': 5, 'reaction_score': 3.5400000000000005, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
